RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/14,2/28/21,3/31/21,Bdrm,CAGR,Lat,Lng
90274,Zip,CA,CA,Palos Verdes Estates,Los Angeles-Long Beach-Anaheim,Los Angeles County,767653.0,951024,958970,2,24.922328187345062,33.7793751,-118.3520389
94087,Zip,CA,CA,Sunnyvale,San Jose-Sunnyvale-Santa Clara,Santa Clara County,481197.0,592443,601389,1,24.97771183112114,37.3492097,-122.0326019
91007,Zip,CA,CA,Arcadia,Los Angeles-Long Beach-Anaheim,Los Angeles County,536186.0,666955,670145,2,24.983681036058382,34.1216975,-118.0478826
90017,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,698221.0,878343,872820,2,25.006265924399294,33.9273122,-116.8674757
93664,Zip,CA,CA,Shaver Lake,Fresno,Fresno County,389077.0,481148,486538,3,25.04928330381904,37.0875479,-118.9994357
96109,Zip,CA,CA,Doyle,Susanville,Lassen County,79095.0,98524,98973,2,25.131803527403758,40.0060389,-120.112735
91377,Zip,CA,CA,Oak Park,Oxnard-Thousand Oaks-Ventura,Ventura County,611291.0,758105,764937,3,25.13467399323726,37.6561165,-122.0326019
94508,Zip,CA,CA,Angwin,Napa,Napa County,681940.0,839396,854058,3,25.239463882453002,38.5725972,-122.4353995
90067,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,548887.0,695504,687543,1,25.26130150650316,34.0571327,-118.4148498
90290,Zip,CA,CA,Topanga,Los Angeles-Long Beach-Anaheim,Los Angeles County,936782.0,1176699,1173644,1,25.284644666528607,34.1076983,-118.61481
95925,Zip,CA,CA,Forbestown,Chico,Butte County,167863.0,213173,210436,2,25.361753334564497,39.4828107,-121.1538564
92694,Zip,CA,CA,Ladera Ranch,Los Angeles-Long Beach-Anaheim,Orange County,608429.0,757084,763030,3,25.40986705104458,33.5507512,-117.6411674
95735,Zip,CA,CA,Twin Bridges,Sacramento--Roseville--Arden-Arcade,El Dorado County,254237.0,311791,319121,2,25.521068923878115,38.8153606,-120.147383
93013,Zip,CA,CA,Carpinteria,Santa Maria-Santa Barbara,Santa Barbara County,531755.0,657263,667555,2,25.53807674586981,34.4212588,-119.4875668
94105,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,1310545.0,1647533,1647044,2,25.676264454864196,37.7890183,-122.3915063
92618,Zip,CA,CA,Irvine,Los Angeles-Long Beach-Anaheim,Orange County,518369.0,649385,651517,2,25.68594958417652,33.665242,-117.7490656
93552,Zip,CA,CA,Palmdale,Los Angeles-Long Beach-Anaheim,Los Angeles County,203609.0,258452,255969,1,25.71595558153127,34.5811542,-118.0303189
95537,Zip,CA,CA,Fields Landing,Eureka-Arcata-Fortuna,Humboldt County,228161.0,283128,286956,3,25.769084111657996,40.7242937,-124.2178534
