ZipCode,County,Lat,Lng
90005,Los Angeles County,34.0578814,-118.3096648
92866,Orange County,33.78344939999999,-117.8457956
96148,Placer County,39.2597037,-120.0549683
90277,Los Angeles County,33.8322129,-118.3870991
90623,Orange County,33.8477954,-118.0449554
95627,Yolo County,38.6733773,-122.0155491
92586,Riverside County,33.7084855,-117.2029363
95633,El Dorado County,38.8520489,-120.7809676
94030,San Mateo County,37.5958949,-122.4184108
93015,Ventura County,34.4163612,-118.8829816
94618,Alameda County,37.8438192,-122.2398636
93451,San Luis Obispo County,35.8674281,-120.5739579
91745,Los Angeles County,33.9990858,-117.9834738
93060,Ventura County,34.4089106,-119.0692659
92327,San Bernardino County,34.8667466,-116.8556955
93240,Kern County,35.6283762,-118.4163103
93453,San Luis Obispo County,35.4137653,-120.2051096
91340,Los Angeles County,34.2913046,-118.4338345
94597,Contra Costa County,37.9193365,-122.0780632
92869,Orange County,33.8038894,-117.77252
92831,Orange County,33.881922,-117.8956062
90630,Orange County,33.816539,-118.0361736
91307,Los Angeles County,34.2124444,-118.6848112
91354,Los Angeles County,34.4627169,-118.5622893
94971,Marin County,38.2547479,-122.9099545
94707,Alameda County,37.8983665,-122.2795667
91024,Los Angeles County,34.1934312,-118.0478826
95694,Yolo County,38.5600699,-122.0155491
94586,Alameda County,37.5867626,-121.8334868
95070,Santa Clara County,37.2638319,-122.023004
95548,Del Norte County,41.5863265,-124.0391342
94559,Napa County,38.22965,-122.3220894
92870,Orange County,33.8802416,-117.8604472
93023,Ventura County,34.5125711,-119.3714909
95416,Sonoma County,38.3137649,-122.4812958
94121,San Francisco County,37.7813454,-122.497668
92705,Orange County,33.7532358,-117.7901088
93065,Ventura County,34.2774306,-118.7897558
90292,Los Angeles County,33.9684276,-118.4571974
90755,Los Angeles County,33.8020217,-118.1678543
90048,Los Angeles County,34.0741548,-118.3724915
93950,Monterey County,36.62011800000001,-121.918866
90403,Los Angeles County,34.0279895,-118.495155
95540,Humboldt County,40.60718050000001,-124.1132746
94019,San Mateo County,37.4903082,-122.4353995
91423,Los Angeles County,34.1482691,-118.4338345
95129,Santa Clara County,37.3052272,-121.9871217
91406,Los Angeles County,34.1985119,-118.4980744
90069,Los Angeles County,34.0931603,-118.3783347
92833,Orange County,33.8749591,-117.9659037
90014,Los Angeles County,34.0434783,-118.2519314
91709,San Bernardino County,33.959453,-117.7256083
91355,Los Angeles County,34.4400287,-118.5914696
95926,Butte County,39.7461315,-121.8448745
92708,Orange County,33.7168761,-117.9600466
91792,Los Angeles County,34.0332214,-117.9073244
91107,Los Angeles County,34.16423960000001,-118.0830047
92865,Orange County,33.8316472,-117.848726
91356,Los Angeles County,37.3304014,-121.8391808
91914,San Diego County,32.6762339,-116.9440313
92663,Orange County,33.615828,-117.9307584
94956,Marin County,38.0373567,-122.8197329
91754,Los Angeles County,34.0472318,-118.1415261
93609,Fresno County,36.52027750000001,-119.8583772
95686,San Joaquin County,38.231148,-121.4770388
93619,Fresno County,34.1789379,-118.4338345
94904,Marin County,37.941063,-122.5655549
92845,Orange County,33.7852683,-118.0273914
92867,Orange County,33.8186385,-117.8282121
91405,Los Angeles County,34.2037124,-118.4571974
91755,Los Angeles County,34.0427819,-118.1181199
94599,Napa County,38.39844600000001,-122.373094
93444,San Luis Obispo County,35.0443612,-120.4588059
95032,Santa Clara County,37.2260616,-121.9302449
90732,Los Angeles County,33.7349075,-118.3140488
95919,Yuba County,39.4338542,-121.2397438
95562,Humboldt County,40.4175329,-124.1184839
91784,San Bernardino County,34.1616368,-117.6552185
94548,Contra Costa County,37.9714216,-121.6639577
94542,Alameda County,37.6561165,-122.0326019
96143,Placer County,39.2569504,-120.0145169
91390,Los Angeles County,34.4964601,-118.3346172
94941,Marin County,37.9060624,-122.5712101
93940,Monterey County,36.5760412,-121.822098
92626,Orange County,33.6834142,-117.9073244
94960,Marin County,37.9885355,-122.5655549
91403,Los Angeles County,34.1423899,-118.4571974
92130,San Diego County,32.9436607,-117.2088167
90025,Los Angeles County,34.0448583,-118.4484367
